symbol,type,entry,exit,pnl,reason,bars
ETH-USD,B,2089.11083984375,2101.697265625,0.8435,timeout,48
ETH-USD,B,2090.693603515625,2109.843633789062,1.2824,target,15
ETH-USD,C,2138.061279296875,2131.6928562011717,-0.417,stop,3
ETH-USD,B,2167.448974609375,2182.3055419921875,0.9596,target,13
ETH-USD,B,2261.28125,2255.8690114746096,-0.3351,stop,0
ETH-USD,B,2252.072021484375,2245.315805419922,-0.42,stop,9
ETH-USD,D,2259.9049072265625,2280.946533203125,1.3035,target,2
ETH-USD,B,2348.456787109375,2342.0060629882814,-0.3846,stop,13
ETH-USD,B,2314.447021484375,2309.6103784179686,-0.2926,stop,13
ETH-USD,B,2318.80712890625,2339.676393066406,1.26,target,9
ETH-USD,C,2341.818603515625,2338.1137224121094,-0.2215,stop,3
ETH-USD,B,2331.56396484375,2324.569272949219,-0.42,stop,0
ETH-USD,B,2321.252685546875,2340.7335205078125,1.1749,target,14
ETH-USD,B,2180.6259765625,2175.664791503906,-0.3185,stop,13
ETH-USD,B,2194.437744140625,2188.1650197753906,-0.4002,stop,11
ETH-USD,B,2166.07470703125,2160.289912353516,-0.3739,stop,1
ETH-USD,B,2106.108154296875,2121.9127197265625,1.0506,target,1
ETH-USD,B,2138.462890625,2135.7735947265624,-0.1761,stop,11
ETH-USD,B,2144.2587890625,2137.8260126953123,-0.42,stop,2
ETH-USD,B,2134.278076171875,2152.8544921875,1.2185,target,10
ETH-USD,B,2132.489990234375,2126.0925202636718,-0.42,stop,3
ETH-USD,B,2146.099365234375,2152.810302734375,0.4378,timeout,48
ETH-USD,B,2150.4111328125,2157.600341796875,0.468,timeout,48
ETH-USD,B,2155.692138671875,2149.2720400390626,-0.4169,stop,21
ETH-USD,B,2149.99072265625,2143.5407504882814,-0.42,stop,10
ETH-USD,C,2085.939208984375,2079.685285888672,-0.4197,stop,0
ETH-USD,B,2078.662841796875,2072.8374829101563,-0.3923,stop,9
ETH-USD,B,2163.93408203125,2159.2262185058594,-0.3046,stop,0
ETH-USD,B,2157.069580078125,2150.5983713378905,-0.42,stop,0
ETH-USD,B,2148.186279296875,2141.741720458984,-0.42,stop,0
ETH-USD,D,2148.49072265625,2164.3798014322915,1.0354,target,7
ETH-USD,C,2149.104736328125,2143.8352744140625,-0.3433,stop,0
ETH-USD,C,2183.17626953125,2176.7596416015626,-0.4115,stop,1
ETH-USD,B,2168.671875,2189.5137939453125,1.3455,target,11
ETH-USD,C,2185.731689453125,2179.788856689453,-0.3806,stop,0
ETH-USD,B,2164.7412109375,2158.437332519531,-0.4077,stop,22
ETH-USD,B,2074.6806640625,2068.4566220703123,-0.42,stop,3
ETH-USD,B,2067.23486328125,2061.9666291503904,-0.3568,stop,0
ETH-USD,B,2057.44482421875,2073.1497802734375,1.0687,target,27
ETH-USD,B,2067.275390625,2061.7677646484376,-0.373,stop,0
